SampleID,SPECIES,ANIMAL_ID,EASTING,NORTHING,LOCATION,COLLECTION DATE,SEASON
S1,Species1,ID1,519692,4987974,Location1,10/15/22,FALL
S2,Species1,ID2,564504,4968219,Location2,10/15/22,FALL
S3,Species2,ID3,527202,4977748,Location3,10/30/22,FALL
S4,Species2,ID4,525774,4977840,Location4,10/30/22,FALL
S5,Species3,ID5,551247,4971898,Location5,11/15/22,WINTER
S6,Species3,ID6,524345,4985447,Location6,11/15/22,WINTER
S7,Species4,ID7,551988,4972441,Location7,11/30/22,WINTER
S8,Species4,ID8,546121,4974251,Location8,11/30/22,WINTER
S9,Species4,ID9,,,Location8,11/30/22,WINTER
S10,Species5,ID10,547801,4973552,Location8,12/5/22,WINTER
